 haloID    z                BH_ID                    gas_ID           m_BH        m_gas     Z/Zsolar     iron_gas    Mg_gas      alpha_gas
 m0175  0.106286    18355976322230255229                  218484  4.63839e+09  6.94500e+06  0.206154  2.87014e+03  3.88458e+02  1.26568e+04
 m0175  0.137251    18355976322230255229                  468791  4.63839e+09  5.94083e+06  0.149354  2.09319e+03  2.42583e+02  7.48944e+03
 m0175  0.488458     4035226228196807603      576460760893486005  3.74131e+08  7.38028e+06  2.287308  2.15792e+04  4.88069e+03  1.61722e+05
 m0175  0.491100     4035226228196807603      576460760893486860  3.74131e+08  1.02479e+07  2.287615  3.03750e+04  6.79597e+03  2.23819e+05
 m0175  0.491102     4035226228196807603                   74073  3.74131e+08  9.98736e+06  2.291000  2.97889e+04  6.63722e+03  2.18417e+05
 m0175  0.492678     4035226228196807603                  378743  3.09935e+08  9.06111e+06  2.049154  2.06806e+04  5.26764e+03  1.81833e+05
 m0175  0.494406     4035226228196807603                  303969  3.00703e+08  8.35917e+06  2.197769  2.02278e+04  5.25486e+03  1.80514e+05
 m0175  0.496867     4035226228196807603                  388700  2.91351e+08  8.39361e+06  2.238692  2.16000e+04  5.40861e+03  1.83139e+05
 m0175  0.499768     4035226228196807603                  388178  2.77493e+08  8.28778e+06  2.114846  1.94264e+04  4.99667e+03  1.71958e+05
 m0175  0.503142     4035226228196807603                  456030  2.74340e+08  9.12958e+06  2.226154  2.31306e+04  5.83903e+03  1.98347e+05
 m0175  0.507843     4035226228196807603                  107126  2.58817e+08  7.55000e+06  2.278000  1.92667e+04  4.94500e+03  1.68625e+05
 m0175  0.513995     4035226228196807603                  122263  2.34578e+08  8.70708e+06  2.218231  2.23042e+04  5.55611e+03  1.88139e+05
 m0175  0.514176     4035226228196807603                  177323  2.34385e+08  1.06989e+07  2.233154  2.79375e+04  6.88639e+03  2.32306e+05
 m0175  0.515259     4035226228196807603                  114250  2.22975e+08  6.81403e+06  1.832154  1.31089e+04  3.51583e+03  1.23401e+05
 m0175  0.522237     4035226228196807603                  162356  2.04824e+08  8.17139e+06  2.242461  1.97028e+04  5.26847e+03  1.80792e+05
 m0175  0.524084     4035226228196807603      576460760893486880  1.99057e+08  6.88986e+06  2.283461  1.68917e+04  4.52792e+03  1.55306e+05
 m0175  0.526021     4035226228196807603                  167522  1.88707e+08  6.96667e+06  1.781538  1.31681e+04  3.48389e+03  1.22368e+05
 m0175  0.528933     4035226228196807603                  596566  1.82092e+08  7.86792e+06  2.278231  1.92986e+04  5.16417e+03  1.76903e+05
 m0175  0.531762     4035226228196807603      576460760893540374  1.77642e+08  8.00167e+06  2.266077  1.90153e+04  5.20722e+03  1.79667e+05
 m0175  0.531980     4035226228196807603                  127868  1.77635e+08  7.42347e+06  2.279769  1.81569e+04  4.86917e+03  1.67125e+05
 m0175  0.533547     4035226228196807603                  304569  1.57431e+08  7.36903e+06  2.165846  1.68861e+04  4.56986e+03  1.57708e+05
 m0175  0.539565     4035226228196807603                  182804  1.50190e+08  9.75417e+06  1.871615  1.81125e+04  5.15444e+03  1.82375e+05
 m0175  0.543789     4035226228196807603      576460752303497612  1.42029e+08  9.37736e+06  2.324923  2.14597e+04  6.26042e+03  2.18486e+05
 m0175  0.547317     4035226228196807603      576460760893533433  1.32346e+08  8.26861e+06  2.420461  1.97417e+04  5.76556e+03  2.00625e+05
 m0175  0.552327     4035226228196807603                  379067  1.20534e+08  9.85472e+06  2.531154  2.30764e+04  7.17333e+03  2.52694e+05
 m0175  0.554755     4035226228196807603      576460752303663685  1.12663e+08  7.32361e+06  2.389077  1.73028e+04  5.03708e+03  1.75250e+05
 m0175  0.557987     4035226228196807603     1729382291270129611  1.05079e+08  8.61319e+06  2.382615  2.03056e+04  5.90556e+03  2.05556e+05
 m0175  0.560148     4035226228196807603      576460752303656277  9.78018e+07  9.75708e+06  2.427000  2.32486e+04  6.82000e+03  2.37542e+05
 m0175  0.720398    18355976322230255229                  516049  4.26426e+09  6.13569e+06  0.238254  3.47514e+03  3.94500e+02  1.24812e+04
 m0175  1.374389     7494051670423797455      576460752303863132  4.26399e+09  6.18111e+06  1.592308  2.63764e+04  3.24264e+03  7.80597e+04
 m0175  1.378959     7494051670423797455     1729382317040293725  4.26399e+09  7.61861e+06  2.099692  3.96083e+04  5.27903e+03  1.29624e+05
 m0175  1.431493     7494051670423797455      576460760893807233  4.26399e+09  7.65861e+06  1.940538  3.43472e+04  4.77819e+03  1.23115e+05
 m0175  1.551821      576460760893614956     2305843017803854753  3.21250e+09  8.00764e+06  3.159231  3.66639e+04  7.63861e+03  2.34569e+05
 m0175  1.553209      576460760893614956     1729382299860160704  3.19487e+09  6.99931e+06  2.825000  3.27333e+04  6.03556e+03  1.77778e+05
 m0175  1.556048      576460760893614956     1729382317040192755  3.18210e+09  8.10611e+06  3.117000  3.73111e+04  7.64000e+03  2.33361e+05
 m0175  1.563491      576460760893614956      576460752303871860  3.18210e+09  9.93792e+06  3.165769  4.55264e+04  9.49972e+03  2.91819e+05
 m0175  1.630824      576460760893614956     2305843052163880769  3.05928e+09  8.64819e+06  2.416461  4.47292e+04  6.70583e+03  1.77625e+05
 m0175  1.698298      576460760893614956     2882303881776580112  2.97889e+09  6.77208e+06  2.507538  3.46250e+04  5.41264e+03  1.45639e+05
 m0175  1.698451      576460760893614956     3458764548180441566  2.97889e+09  7.18375e+06  2.313231  3.65389e+04  5.32806e+03  1.38329e+05
 m0175  1.699930      576460760893614956     6341077818755296844  2.97889e+09  8.05625e+06  1.969077  3.98181e+04  5.07889e+03  1.23867e+05
 m0175  1.771434      576460760893614956     2305843069343637277  2.83392e+09  6.57833e+06  2.422615  3.27597e+04  5.00861e+03  1.33760e+05
 m0175  1.819697      576460760893614956     1152921504607325412  2.73089e+09  7.24264e+06  1.886615  2.22236e+04  3.96944e+03  1.17439e+05
 m0175  1.841184      576460760893614956      576460760893763481  2.73089e+09  7.89361e+06  2.058692  2.56264e+04  4.78153e+03  1.42528e+05
 m0175  1.841184      576460760893614956      576460752303758633  2.73089e+09  6.90611e+06  2.083154  2.26389e+04  4.24014e+03  1.26349e+05
 m0175  1.861869      576460760893614956      576460752303793814  2.73089e+09  8.56042e+06  2.067461  2.19750e+04  4.97833e+03  1.62042e+05
 m0175  1.862107      576460760893614956      576460752303709439  2.73089e+09  6.38403e+06  2.069538  1.64875e+04  3.71833e+03  1.20786e+05
 m0175  1.866241      576460760893614956                  226284  2.73089e+09  7.93153e+06  2.027615  2.04681e+04  4.52472e+03  1.46347e+05
 m0175  1.876456      576460760893614956      576460752303909656  2.73089e+09  6.48611e+06  1.950308  1.60556e+04  3.54375e+03  1.14853e+05
 m0175  1.879770      576460760893614956      576460760893643864  2.73089e+09  8.86333e+06  2.064154  2.28778e+04  5.15042e+03  1.66986e+05
 m0175  1.880632      576460760893614956                  448608  2.73089e+09  8.31917e+06  2.046615  2.15153e+04  4.79847e+03  1.55403e+05
 m0175  1.889021      576460760893614956      576460760893914363  2.73089e+09  6.25847e+06  2.002154  1.59403e+04  3.52528e+03  1.14050e+05
 m0175  1.894348      576460760893614956      576460752303702829  2.73089e+09  6.15792e+06  1.986000  1.49222e+04  3.44153e+03  1.13361e+05
 m0175  1.896913      576460760893614956      576460760893763108  2.73089e+09  8.44806e+06  2.159231  2.24278e+04  5.17167e+03  1.68542e+05
 m0175  1.903230      576460760893614956      576460760893833556  2.73089e+09  8.00125e+06  2.374231  2.35819e+04  5.47750e+03  1.76736e+05
 m0175  1.903474      576460760893614956                  399912  2.73089e+09  8.21347e+06  2.168538  2.23917e+04  5.06167e+03  1.63833e+05
 m0175  1.903567      576460760893614956      576460760893769666  2.73089e+09  7.61764e+06  2.279615  2.21194e+04  4.98861e+03  1.60069e+05
 m0175  1.907196      576460760893614956      576460760893644751  2.73089e+09  6.08514e+06  2.190385  1.66861e+04  3.79889e+03  1.22978e+05
 m0175  1.913142      576460760893614956      576460760893864134  2.73089e+09  7.04583e+06  2.249692  1.99778e+04  4.54194e+03  1.46347e+05
 m0175  1.917263      576460760893614956      576460760893768544  2.73089e+09  7.67639e+06  2.278923  2.13625e+04  4.99875e+03  1.62875e+05
 m0175  1.930188      576460760893614956      576460760893693026  2.73089e+09  7.36444e+06  2.449846  2.27528e+04  5.23792e+03  1.67500e+05
 m0175  1.932904      576460760893614956     1729382265500754438  2.73089e+09  9.04611e+06  2.448000  2.75486e+04  6.42417e+03  2.06514e+05
 m0175  1.932904      576460760893614956                  473278  2.73089e+09  1.00671e+07  2.397077  3.04000e+04  6.98556e+03  2.24278e+05
 m0175  1.937902      576460760893614956      576460752303896689  2.73089e+09  6.93889e+06  2.433308  2.17778e+04  4.91278e+03  1.56236e+05
 m0175  1.952361      576460760893614956                  473630  2.73089e+09  7.37750e+06  1.778154  1.51264e+04  3.63694e+03  1.22364e+05
 m0175  1.953983      576460760893614956     1152921521787076596  2.73089e+09  7.55806e+06  2.070923  1.69389e+04  4.34667e+03  1.47833e+05
 m0175  1.959079      576460760893614956                  549577  2.73089e+09  8.50208e+06  2.147538  1.98167e+04  5.09764e+03  1.72861e+05
 m0175  1.960708      576460760893614956     1152921504607332920  2.73089e+09  6.55903e+06  2.104154  1.47806e+04  3.84000e+03  1.30742e+05
 m0175  1.961234      576460760893614956      576460752303823979  2.73089e+09  6.18111e+06  2.277231  1.49014e+04  3.95014e+03  1.34437e+05
 m0175  1.997350      576460760893614956      576460752303861457  2.73089e+09  7.37347e+06  2.239769  1.86389e+04  4.66319e+03  1.55847e+05
 m0175  1.997449      576460760893614956      576460760893553876  2.73089e+09  6.78181e+06  2.389769  1.60111e+04  4.55125e+03  1.57222e+05
 m0175  2.008921      576460760893614956      576460752303824522  2.73089e+09  8.24486e+06  2.195154  1.98167e+04  5.07458e+03  1.71444e+05
 m0175  2.014891      576460760893614956      576460760893701221  2.73089e+09  6.14847e+06  2.286769  1.68736e+04  4.01139e+03  1.31231e+05
 m0175  2.018203      576460760893614956      576460760893628616  2.73089e+09  6.96139e+06  2.343769  1.96042e+04  4.67722e+03  1.52833e+05
 m0175  2.019944      576460760893614956      576460760893836583  2.73089e+09  6.18472e+06  2.272385  1.70708e+04  4.02236e+03  1.31144e+05
 m0175  2.020327      576460760893614956      576460752303784248  2.73089e+09  7.51903e+06  2.374769  2.30181e+04  5.17250e+03  1.64486e+05
 m0175  2.020382      576460760893614956      576460760893780162  2.73089e+09  6.55458e+06  2.360077  1.96972e+04  4.47708e+03  1.43028e+05
 m0175  2.021084      576460760893614956      576460752303901991  2.73089e+09  6.20792e+06  2.283769  1.73542e+04  4.05806e+03  1.31893e+05
 m0175  2.021084      576460760893614956     1152921504607057045  2.73089e+09  7.50222e+06  2.406385  2.31694e+04  5.24111e+03  1.66708e+05
 m0175  2.022125      576460760893614956      576460752303844531  2.73089e+09  7.36819e+06  2.455769  2.22736e+04  5.23278e+03  1.68917e+05
 m0175  2.027377      576460760893614956                  286384  2.73089e+09  1.11890e+07  2.432769  3.52181e+04  7.91542e+03  2.50958e+05
 m0175  2.042454      576460760893614956                  469306  2.73089e+09  6.13097e+06  0.524608  3.54347e+03  8.43250e+02  2.96944e+04
 m0175  2.047545      576460760893614956      576460760893554746  2.73089e+09  6.00069e+06  2.208077  1.31633e+04  3.68167e+03  1.28119e+05
 m0175  2.055469      576460760893614956                  329567  2.73089e+09  7.41028e+06  2.036000  1.47417e+04  4.15028e+03  1.45750e+05
 m0175  2.072291      576460760893614956      576460752303793734  2.73089e+09  6.68000e+06  2.257615  1.45139e+04  4.19194e+03  1.46792e+05
 m0175  2.078173      576460760893614956                  256645  2.73089e+09  9.47611e+06  2.135154  1.98958e+04  5.59194e+03  1.95431e+05
 m0175  2.084031      576460760893614956      576460752303768161  2.73089e+09  6.64875e+06  2.163385  1.46000e+04  3.99347e+03  1.38354e+05
 m0175  2.086858      576460760893614956                  555912  2.73089e+09  8.72333e+06  2.236077  2.01889e+04  5.44569e+03  1.87375e+05
 m0175  2.096876      576460760893614956      576460760893567809  2.73089e+09  6.33278e+06  2.187154  1.34004e+04  3.83847e+03  1.34554e+05
 m0175  2.098671      576460760893614956      576460752303833785  2.73089e+09  5.94222e+06  2.302077  1.43556e+04  3.83792e+03  1.31244e+05
 m0175  2.099583      576460760893614956                  279673  2.73089e+09  7.99097e+06  2.302461  1.87806e+04  5.14764e+03  1.77347e+05
 m0175  2.101160      576460760893614956      576460760893768377  2.73089e+09  5.96986e+06  2.320769  1.46833e+04  3.89556e+03  1.32718e+05
 m0175  2.104742      576460760893614956      576460760893634836  2.73089e+09  8.35319e+06  2.406615  2.18889e+04  5.69667e+03  1.91944e+05
 m0175  2.105831      576460760893614956      576460760893644467  2.73089e+09  6.95694e+06  2.435846  1.84556e+04  4.80333e+03  1.61889e+05
 m0175  2.109646      576460760893614956      576460760893759114  2.73089e+09  7.62208e+06  2.464154  2.07403e+04  5.34278e+03  1.79056e+05
 m0175  2.109946      576460760893614956                  549199  2.73089e+09  9.35917e+06  2.434846  2.50736e+04  6.47014e+03  2.17153e+05
 m0175  2.113548      576460760893614956      576460752303709875  2.73089e+09  6.75278e+06  2.448077  1.82569e+04  4.69778e+03  1.57514e+05
 m0175  2.113548      576460760893614956                  556774  2.73089e+09  1.04115e+07  2.438615  2.78389e+04  7.20681e+03  2.42236e+05
 m0175  2.113722      576460760893614956      576460752303753214  2.73089e+09  6.27889e+06  2.361154  1.54153e+04  4.16944e+03  1.42583e+05
 m0175  2.116779      576460760893614956      576460752303964797  2.73089e+09  6.67889e+06  2.518077  1.79861e+04  4.78431e+03  1.61569e+05
 m0175  2.120563      576460760893614956      576460760893687806  2.73089e+09  6.77264e+06  2.484846  1.88681e+04  4.79722e+03  1.60069e+05
 m0175  2.120563      576460760893614956      576460752303965901  2.73089e+09  6.31486e+06  2.467000  1.73083e+04  4.43333e+03  1.48347e+05
 m0175  2.124902      576460760893614956      576460752303980701  2.73089e+09  7.79819e+06  2.625154  2.35333e+04  5.88236e+03  1.94069e+05
 m0175  2.127610      576460760893614956                  353324  2.73089e+09  7.06569e+06  1.867615  1.21058e+04  3.57708e+03  1.28946e+05
 m0175  2.128314      576460760893614956                  478375  2.73089e+09  7.09042e+06  1.996385  1.29115e+04  3.86569e+03  1.39250e+05
 m0175  2.136104      576460760893614956                  410448  2.73089e+09  6.93764e+06  1.972615  1.22496e+04  3.73028e+03  1.35044e+05
 m0175  2.138998      576460760893614956      576460752303919276  2.73089e+09  6.37292e+06  1.842538  1.06424e+04  3.18250e+03  1.15442e+05
 m0175  2.138998      576460760893614956                  217884  2.73089e+09  7.80542e+06  2.055923  1.47278e+04  4.39861e+03  1.57806e+05
 m0175  2.164677      576460760893614956                  555706  2.73089e+09  7.11833e+06  2.101000  1.36715e+04  4.10819e+03  1.47181e+05
 m0175  2.165228      576460760893614956                  350934  2.73089e+09  7.65139e+06  1.816615  1.25444e+04  3.75833e+03  1.36668e+05
 m0175  2.165228      576460760893614956                  437582  2.73089e+09  7.56917e+06  2.077923  1.47028e+04  4.31889e+03  1.54000e+05
 m0175  2.165228      576460760893614956                  543397  2.73089e+09  7.80347e+06  2.021231  1.45625e+04  4.31417e+03  1.54847e+05
 m0175  2.168317      576460760893614956                  195439  2.73089e+09  7.64708e+06  1.997461  1.34175e+04  4.16431e+03  1.51278e+05
 m0175  2.169974      576460760893614956                  475010  2.73089e+09  7.55792e+06  2.126000  1.35464e+04  4.40250e+03  1.60514e+05
 m0175  2.176590      576460760893614956      576460752303829199  2.73089e+09  6.08069e+06  2.409461  1.48069e+04  4.11194e+03  1.42139e+05
 m0175  2.176933      576460760893614956                  195544  2.73089e+09  8.20653e+06  2.194000  1.54597e+04  4.95083e+03  1.79361e+05
 m0175  2.177195      576460760893614956      576460760893837722  2.73089e+09  6.44542e+06  2.084769  1.22869e+04  3.68528e+03  1.32219e+05
 m0175  2.177195      576460760893614956                  154634  2.73089e+09  8.12389e+06  2.146538  1.63681e+04  4.80736e+03  1.70889e+05
 m0175  2.177306      576460760893614956                  405263  2.73089e+09  8.44528e+06  2.609231  2.18944e+04  6.22903e+03  2.15153e+05
 m0175  2.189243      576460760893614956                  336857  1.34859e+09  7.97778e+06  1.935000  1.62319e+04  4.26875e+03  1.48264e+05
 m0175  2.210500      576460760893614956      576460760893832474  1.34213e+09  6.55042e+06  2.630385  1.77681e+04  4.88667e+03  1.67028e+05
 m0175  2.212955      576460760893614956      576460752303782797  1.34213e+09  7.54778e+06  2.940461  2.03333e+04  6.29986e+03  2.20431e+05
 m0175  2.215786      576460760893614956                  361376  1.34213e+09  1.07115e+07  2.573154  2.86833e+04  7.80194e+03  2.66500e+05
 m0175  2.216996      576460760893614956      576460760893765457  1.34213e+09  8.82611e+06  2.634154  2.48861e+04  6.60556e+03  2.23583e+05
 m0175  2.217586      576460760893614956                  344641  1.34213e+09  1.01653e+07  2.671615  2.73875e+04  7.69847e+03  2.64542e+05
 m0175  2.224444      576460760893614956      576460752303703532  1.34213e+09  6.82889e+06  2.774385  1.93417e+04  5.39153e+03  1.84250e+05
 m0175  2.243499      576460760893614956                  368907  1.34213e+09  6.14458e+06  0.974231  6.04292e+03  1.57167e+03  5.73722e+04
 m0175  2.249306      576460760893614956                  404086  1.34213e+09  5.96819e+06  0.565546  3.38569e+03  8.66028e+02  3.20583e+04
 m0175  2.253249      576460760893614956                  474579  1.34213e+09  7.94208e+06  2.098923  1.44903e+04  4.56986e+03  1.65514e+05
 m0175  2.255304      576460760893614956      576460752303965212  1.34213e+09  6.06125e+06  2.044692  1.08322e+04  3.38958e+03  1.22929e+05
 m0175  2.255685      576460760893614956                  215543  1.34213e+09  7.38056e+06  1.532615  1.03636e+04  2.99611e+03  1.11069e+05
 m0175  2.287052      576460760893614956      576460760893763863  1.34213e+09  8.50000e+06  1.818615  1.35071e+04  4.17375e+03  1.53278e+05
 m0175  2.287246      576460760893614956                  428766  1.34213e+09  7.46958e+06  1.428231  9.90653e+03  2.80500e+03  1.04556e+05
 m0175  2.287495      576460760893614956                  438054  1.34213e+09  7.71486e+06  2.087154  1.40681e+04  4.41417e+03  1.59750e+05
 m0175  2.311631      576460760893614956                  218572  1.34213e+09  8.87958e+06  2.348692  1.83958e+04  5.78792e+03  2.06708e+05
 m0175  2.313156      576460760893614956      576460760893575970  1.34213e+09  6.26722e+06  2.517769  1.43819e+04  4.41944e+03  1.55569e+05
 m0175  2.314298      576460760893614956                  335141  1.34213e+09  8.77306e+06  2.340692  1.81236e+04  5.69903e+03  2.03514e+05
 m0175  2.316409      576460760893614956                  334943  1.34213e+09  8.54292e+06  2.547000  1.96153e+04  6.09083e+03  2.14861e+05
 m0175  2.316607      576460760893614956      576460752303641378  1.34213e+09  6.08014e+06  2.569077  1.40986e+04  4.37931e+03  1.54333e+05
 m0175  2.316607      576460760893614956      576460752303758953  1.34213e+09  6.93264e+06  2.967308  1.77167e+04  5.82056e+03  2.05292e+05
 m0175  2.317751      576460760893614956      576460760893895717  1.34213e+09  7.88861e+06  2.912461  2.02667e+04  6.49875e+03  2.28292e+05
 m0175  2.345075      576460760893614956                  217070  1.00794e+09  7.07292e+06  1.925846  1.18337e+04  3.70139e+03  1.35043e+05
 m0175  2.359402      576460760893614956                  208697  9.88051e+08  6.24792e+06  0.897538  5.23764e+03  1.43528e+03  5.49653e+04
 m0175  2.370090      576460760893614956                  335352  9.88051e+08  6.61000e+06  1.341308  8.61792e+03  2.32694e+03  8.59431e+04
 m0175  2.371840      576460760893614956                  438182  9.88051e+08  7.29014e+06  2.049231  1.26301e+04  4.07875e+03  1.48722e+05
 m0175  2.372238      576460760893614956                  405826  9.88051e+08  6.97431e+06  1.729769  1.06414e+04  3.24556e+03  1.19242e+05
 m0175  2.383740      576460760893614956                  271360  9.88051e+08  6.89903e+06  1.761000  1.07603e+04  3.27458e+03  1.19974e+05
